Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SEASON
Jalen Duren,C,20,DET,14,13,28.9,5.7,9.1,0.63,0.0,0.1,0.0,5.7,8.9,0.64,0.63,1.1,2.0,0.571,3.4,7.6,10.9,2.5,0.6,1.4,2.7,3.4,12.6,23-24
Tari Eason,PF,22,HOU,18,0,21.0,3.7,7.9,0.465,0.8,2.1,0.395,2.8,5.8,0.49,0.518,1.1,1.6,0.655,2.0,5.1,7.1,1.2,1.0,0.9,0.9,2.2,9.2,23-24
Anthony Edwards,SG,22,MIN,25,25,34.4,8.9,19.6,0.454,2.4,6.6,0.37,6.4,13.0,0.497,0.516,5.0,5.8,0.861,0.6,4.9,5.5,5.3,1.4,0.5,3.2,1.8,25.2,23-24
Kessler Edwards,SF,23,SAC,23,0,5.1,0.6,1.4,0.406,0.3,0.9,0.35,0.3,0.5,0.5,0.516,0.0,0.1,0.5,0.1,0.7,0.8,0.3,0.1,0.1,0.0,0.4,1.5,23-24
Keon Ellis,SG,24,SAC,21,3,13.9,1.4,3.4,0.408,1.0,2.9,0.35,0.4,0.5,0.727,0.556,0.5,0.8,0.647,0.3,1.2,1.5,1.5,0.6,0.5,0.6,1.5,4.3,23-24
Joel Embiid,C,29,PHI,25,25,34.2,11.8,21.8,0.54,1.1,3.2,0.35,10.6,18.6,0.573,0.566,10.3,11.6,0.893,2.8,8.9,11.7,6.0,1.2,2.0,3.8,2.8,35.0,23-24
Drew Eubanks,C,26,PHO,28,2,17.0,2.5,4.2,0.593,0.1,0.1,1.0,2.4,4.1,0.586,0.602,1.1,1.3,0.838,1.4,3.0,4.4,1.1,0.4,1.0,1.2,1.9,6.2,23-24
Dante Exum,PG,28,DAL,26,10,18.6,3.5,6.1,0.579,0.9,2.0,0.434,2.7,4.1,0.651,0.651,1.0,1.4,0.722,0.7,2.4,3.1,2.5,0.5,0.2,0.8,1.5,9.0,23-24
Bruno Fernando,C,25,ATL,7,0,4.7,1.1,2.3,0.5,0.0,0.1,0.0,1.1,2.1,0.533,0.5,0.6,0.9,0.667,0.7,1.0,1.7,0.1,0.0,0.1,0.6,0.7,2.9,23-24
Dorian Finney-Smith,PF,30,BRK,27,17,29.3,3.9,8.2,0.473,2.4,5.4,0.449,1.4,2.8,0.52,0.622,0.2,0.3,0.75,1.9,3.1,5.0,1.2,0.7,0.6,0.9,2.2,10.4,23-24
Simone Fontecchio,SF,28,UTA,28,14,21.0,3.0,6.8,0.445,1.9,4.6,0.403,1.2,2.2,0.532,0.581,0.8,0.9,0.84,0.8,2.0,2.8,1.1,0.5,0.4,1.0,1.6,8.7,23-24
Jordan Ford,PG,25,SAC,6,0,3.7,0.7,1.2,0.571,0.3,0.5,0.667,0.3,0.7,0.5,0.714,0.3,0.3,1.0,0.0,0.3,0.3,0.3,0.0,0.0,0.2,0.0,2.0,23-24
Trent Forrest,SG,25,ATL,7,0,8.7,0.4,2.1,0.2,0.0,0.1,0.0,0.4,2.0,0.214,0.2,0.6,0.6,1.0,0.6,0.6,1.1,1.7,0.3,0.0,0.4,0.7,1.4,23-24
Evan Fournier,SG,31,NYK,1,0,16.0,1.0,6.0,0.167,0.0,4.0,0.0,1.0,2.0,0.5,0.167,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,23-24
De'Aaron Fox,PG,26,SAC,22,22,35.0,10.4,21.6,0.48,3.2,8.3,0.39,7.1,13.3,0.536,0.555,5.6,7.6,0.738,0.9,3.5,4.4,6.2,1.6,0.4,2.5,2.7,29.6,23-24
Alex Fudge,SF,20,LAL,4,0,3.5,0.3,1.5,0.167,0.0,0.5,0.0,0.3,1.0,0.25,0.167,0.5,0.5,1.0,0.5,0.0,0.5,0.0,0.0,0.0,0.3,0.3,1.0,23-24
Markelle Fultz,PG,25,ORL,5,5,28.6,5.4,11.2,0.482,0.0,0.6,0.0,5.4,10.6,0.509,0.482,0.6,0.8,0.75,1.6,1.8,3.4,4.0,1.2,0.4,1.2,1.2,11.4,23-24
Daniel Gafford,C,25,WAS,25,25,25.5,4.5,6.5,0.693,0.0,0.0,,4.5,6.5,0.693,0.693,2.0,2.8,0.71,2.8,4.8,7.5,1.7,0.7,2.2,1.1,3.5,11.0,23-24
Darius Garland,PG,24,CLE,20,20,34.0,7.6,16.1,0.47,1.8,5.2,0.346,5.8,10.9,0.53,0.526,3.8,4.6,0.835,0.6,2.2,2.8,5.9,1.6,0.2,3.8,1.6,20.7,23-24
Usman Garuba,PF,21,GSW,2,0,3.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,23-24
Luka Garza,C,25,MIN,6,0,3.0,0.7,2.0,0.333,0.0,0.5,0.0,0.7,1.5,0.444,0.333,0.8,1.3,0.625,0.5,0.7,1.2,0.3,0.0,0.0,0.2,1.0,2.2,23-24
Kaiser Gates,SF,27,NOP,1,0,7.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23-24
Keyonte George,PG,20,UTA,24,16,25.8,3.5,9.6,0.361,1.6,5.1,0.32,1.8,4.5,0.407,0.446,2.4,3.0,0.781,0.5,2.5,3.0,5.0,0.5,0.1,2.3,1.1,10.9,23-24
Paul George,PF,33,LAC,27,27,34.4,8.0,17.5,0.456,3.3,8.1,0.402,4.7,9.4,0.502,0.549,3.6,3.9,0.933,0.6,4.9,5.6,4.1,1.7,0.4,2.1,2.8,22.8,23-24
Taj Gibson,PF,38,NYK,6,0,9.5,0.5,1.3,0.375,0.0,0.7,0.0,0.5,0.7,0.75,0.375,0.0,0.0,,0.5,1.2,1.7,0.7,0.2,0.8,0.2,1.5,1.0,23-24
Josh Giddey,SG,21,OKC,26,26,25.2,5.0,11.4,0.436,0.9,2.6,0.343,4.1,8.8,0.463,0.475,1.0,1.2,0.806,1.6,4.4,6.0,4.3,0.8,0.4,2.5,1.3,11.8,23-24
Harry Giles,C,25,BRK,8,0,5.5,1.8,3.0,0.583,0.1,0.6,0.2,1.6,2.4,0.684,0.604,0.6,0.9,0.714,0.6,0.6,1.3,0.1,0.1,0.3,0.3,0.6,4.3,23-24
Shai Gilgeous-Alexander,PG,25,OKC,26,26,34.7,11.1,20.8,0.535,1.0,3.4,0.307,10.1,17.4,0.58,0.56,7.6,8.3,0.912,0.9,4.8,5.7,6.3,2.8,0.8,2.0,2.4,30.8,23-24
Anthony Gill,PF,31,WAS,19,0,6.6,1.0,2.0,0.5,0.0,0.4,0.0,1.0,1.6,0.633,0.5,0.6,0.7,0.786,0.6,0.9,1.5,0.5,0.2,0.3,0.5,0.6,2.6,23-24
Collin Gillespie,PG,24,DEN,11,0,7.8,0.7,1.8,0.4,0.3,1.1,0.25,0.5,0.7,0.625,0.475,0.1,0.1,1.0,0.1,0.3,0.4,0.7,0.5,0.0,0.4,0.9,1.8,23-24
Jacob Gilyard,PG,25,MEM,19,8,15.7,1.3,3.1,0.414,1.1,2.6,0.429,0.2,0.5,0.333,0.595,0.1,0.1,1.0,0.3,0.7,1.1,3.1,0.6,0.1,0.7,1.0,3.7,23-24
Rudy Gobert,C,31,MIN,28,28,32.3,4.9,8.0,0.616,0.0,0.0,,4.9,8.0,0.616,0.616,2.9,4.8,0.612,3.8,8.5,12.3,1.3,0.8,2.3,1.5,2.9,12.8,23-24
Jordan Goodwin,PG,25,PHO,29,0,17.9,2.2,6.0,0.368,0.8,2.7,0.299,1.4,3.3,0.423,0.434,0.8,0.9,0.852,1.3,2.7,3.9,2.5,0.7,0.3,0.9,1.4,6.0,23-24
Aaron Gordon,PF,28,DEN,28,28,32.0,5.5,10.5,0.525,0.5,1.9,0.25,5.1,8.7,0.584,0.547,2.0,3.4,0.606,2.8,4.0,6.9,3.4,1.0,0.6,1.5,1.6,13.6,23-24
Eric Gordon,SG,35,PHO,25,18,31.7,5.0,11.0,0.457,2.5,6.4,0.385,2.6,4.6,0.557,0.569,0.7,0.8,0.81,0.3,1.8,2.1,2.8,1.0,0.5,1.4,1.5,13.2,23-24
Devonte' Graham,PG,28,SAS,6,0,10.0,0.7,2.5,0.267,0.3,1.7,0.2,0.3,0.8,0.4,0.333,0.8,1.2,0.714,0.2,1.2,1.3,2.7,0.3,0.2,0.3,0.5,2.5,23-24
Jerami Grant,PF,29,POR,24,24,35.1,7.5,16.6,0.455,2.5,6.1,0.415,5.0,10.5,0.478,0.531,4.7,5.8,0.819,0.7,3.0,3.8,2.5,0.8,0.8,2.3,2.4,22.3,23-24
A.J. Green,SG,24,MIL,20,0,7.4,1.1,2.4,0.438,0.9,2.1,0.429,0.2,0.3,0.5,0.625,0.1,0.1,1.0,0.2,0.6,0.8,0.7,0.0,0.0,0.0,0.8,3.1,23-24
Danny Green,SG,36,PHI,2,0,9.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.5,0.0,23-24
Draymond Green,PF,33,GSW,15,15,25.1,3.4,6.9,0.49,1.2,2.8,0.429,2.2,4.1,0.532,0.577,1.7,2.0,0.833,1.5,4.1,5.5,5.8,0.4,0.7,2.4,3.0,9.7,23-24
Jalen Green,SG,21,HOU,27,27,30.5,5.6,14.2,0.396,1.9,5.9,0.325,3.7,8.3,0.446,0.464,3.9,4.8,0.822,0.4,4.1,4.5,3.1,0.6,0.4,2.4,1.5,17.1,23-24
Jeff Green,PF,37,HOU,26,0,15.6,2.1,3.8,0.561,0.3,1.1,0.321,1.8,2.7,0.657,0.607,2.2,2.6,0.838,0.8,1.4,2.2,0.7,0.2,0.5,0.7,1.4,6.8,23-24
Josh Green,SG,23,DAL,18,5,25.2,2.6,6.1,0.422,1.3,3.5,0.365,1.3,2.6,0.5,0.528,0.5,0.9,0.529,0.6,2.3,2.9,2.4,0.9,0.2,0.9,1.7,6.9,23-24
AJ Griffin,SF,20,ATL,12,0,9.2,0.8,2.8,0.294,0.7,2.1,0.32,0.2,0.8,0.222,0.412,0.2,0.2,1.0,0.2,0.8,1.0,0.3,0.1,0.0,0.3,0.5,2.5,23-24
