position,age,games_played,games_started,minutes_played_per_game,field_goals_per_game,field_goals_attempts_per_game,three_point_field_goals_per_game,three_point_field_goals_attempts_per_game,two_point_field_goals_per_game,two_point_field_goals_attempts_per_game,free_throws_per_game,free_throws_attempts_per_game,offensive_rebounds_per_game,defensive_rebounds_per_game,total_rebounds_per_game,assists_per_game,steals_per_game,blocks_per_game,turnovers_per_game,personal_fouls_per_game,points_per_game
SG,25,64,5,13.1,2.4,5.7,1.4,3.8,1,1.9,0.5,0.7,0.3,1.9,2.2,1,0.7,0.2,0.8,1.6,6.7
SG,20,12,0,5.5,0.7,1.6,0.2,0.6,0.5,1,0.1,0.2,0.2,0.6,0.8,0.9,0.2,0.2,0.3,0.4,1.6
SF,23,4,0,6.3,1.3,3,0.8,2.5,0.5,0.5,0.5,0.5,0.3,1.3,1.5,0.3,0,0.3,0,0.5,3.8
C,33,38,1,11.2,2,4,0.3,1,1.7,2.9,0.9,1.3,0.9,2.6,3.5,0.7,0.2,0.5,0.7,2,5.2
PG,32,32,0,6.7,0.5,1.6,0.3,0.8,0.3,0.7,0.1,0.2,0,0.4,0.4,1.3,0.2,0,0.3,0.6,1.5
SF,33,74,74,36.2,8.9,17.6,0.6,1.9,8.3,15.7,6.2,7.1,0.5,4.2,4.6,5.1,1.1,0.5,2.1,2.5,24.5
C,21,22,1,8.9,1.1,2.1,0,0.1,1,2,0.5,0.7,1.4,0.9,2.3,0.2,0.3,0.4,0.4,0.7,2.7
C,26,22,2,8,1.1,2.3,0.3,1,0.8,1.3,0.1,0.1,0.4,1,1.4,0.4,0.2,0.4,0.5,1.2,2.6
SF,24,56,0,17.8,3.8,6.7,0.1,0.4,3.8,6.3,1.6,2.6,1,2.4,3.5,1,0.9,0.3,1.3,2.2,9.3
C,33,31,1,11.5,1.5,3.8,0.7,2.4,0.8,1.4,0.3,0.4,0.9,2.6,3.5,1.7,0.1,0.5,1,1.8,3.9
PF,19,39,1,14.6,1.9,4.6,0.7,2.5,1.3,2.1,0.4,0.6,0.5,2.2,2.7,1.2,0.4,0.2,0.7,1.1,4.9
SG,26,72,36,26.3,3.3,7.5,2.1,5.3,1.2,2.3,0.8,1,1.1,3.4,4.5,3.5,1.3,0.1,1.6,1.8,9.4
PG,23,66,66,36.2,10.9,22,2.8,8.2,8.1,13.8,7.8,10.5,0.8,7.8,8.6,8,1.4,0.5,3.6,2.5,32.4
SF,26,3,0,2.7,1.3,1.7,0.3,0.7,1,1,0,0,0.3,0.3,0.7,0,0,0,0,0,3
SF,23,74,73,30.7,4.6,11.8,1.8,5.5,2.8,6.3,2.7,3.5,1.7,2.9,4.6,2.1,1,0.3,1.2,3.3,13.7
SG,23,80,51,26.2,3.5,7.1,0.7,2.4,2.8,4.8,0.8,1,0.6,2.2,2.8,2.6,0.8,0.3,1.2,2.3,8.6
PG,23,6,0,8.8,0.2,1.7,0.2,0.7,0,1,0,0,1,0.7,1.7,1.3,0.8,0,0.5,1.5,0.5
PG,25,25,0,10.4,1,2.3,0.2,0.6,0.8,1.6,0.2,0.4,0.2,0.7,0.9,1.2,0.4,0.1,0.2,0.5,2.4
SF,26,16,0,4.9,0.6,2.1,0.1,1,0.5,1.1,0,0,0.1,0.8,0.9,0.6,0.4,0.1,0.3,0.4,1.4
PG,36,58,0,15,2.4,5.8,0.9,2.5,1.5,3.3,0.5,0.8,0.3,1.1,1.4,2.6,0.2,0.1,1.1,1.1,6.3
C,29,67,0,12.7,2.5,4.1,0,0,2.5,4,1,1.9,2.1,4.6,6.6,0.5,0.7,0.4,1.1,1.7,6
SF,25,46,12,19.5,2.7,7.2,1.2,3.8,1.5,3.5,1.3,1.6,0.4,2.1,2.5,1.4,0.5,0.2,0.9,1.4,7.9
SG,23,23,0,9.9,1.6,3.4,0,0.5,1.5,2.9,0.5,0.7,0.5,0.8,1.3,0.9,0.4,0,0.8,1.3,3.7
PG,28,22,3,25.8,5.3,9.8,0.8,1.6,4.5,8.2,1.9,2.4,0.4,4.1,4.5,5.6,1.1,0.5,1.6,2.6,13.2
PF,34,47,47,35.6,10.3,18.3,2,4.9,8.3,13.4,6.5,7.1,0.4,6.3,6.7,5,0.7,1.4,3.3,2.1,29.1
C,19,67,31,24.9,3.9,5.9,0,0,3.9,5.9,1.4,2.3,3.4,5.5,8.9,1.1,0.7,0.9,1.4,2.7,9.1
PF,21,82,5,21.5,3.6,8,0.7,2.1,2.9,6,1.3,1.8,2.4,3.7,6,1.1,1.2,0.6,1.2,2.3,9.3
SG,21,79,79,36,8.9,19.5,2.7,7.3,6.3,12.2,4,5.3,0.6,5.2,5.8,4.4,1.6,0.7,3.3,2.4,24.6
SF,22,36,4,10.7,1,2.6,0.5,1.5,0.5,1.1,0.3,0.4,0.6,1.1,1.7,0.6,0.4,0.2,0.4,1.1,2.8
SG,23,16,0,4.4,0.4,1,0.4,0.8,0.1,0.3,0.3,0.4,0.3,0.3,0.5,0.4,0.3,0.1,0.1,0.6,1.5
C,28,66,66,34.6,11,20.1,1,3,10,17.1,10,11.7,1.7,8.4,10.2,4.2,1,1.7,3.4,3.1,33.1
C,25,78,28,20.3,2.7,4.3,0.1,0.2,2.7,4.1,1.1,1.6,1.7,3.7,5.4,1.3,0.5,1.3,0.9,2.2,6.6
C,24,39,4,10.4,1.5,2.9,0,0.1,1.5,2.8,0.9,1.3,1.4,2.1,3.5,0.8,0.2,0.9,0.6,1.9,3.9
PF,29,66,66,30.4,3,7.6,1.7,5.1,1.2,2.5,0.7,0.9,1.7,3.1,4.8,1.5,0.8,0.5,0.9,2.2,8.3
PG,24,53,2,13,1.6,4.6,0.9,2.5,0.8,2.1,0.5,0.6,0.3,1.2,1.4,1.3,0.4,0.1,0.5,1.2,4.6
SF,27,52,6,14.7,2.2,6,1.2,3.7,1,2.3,0.7,0.8,0.6,1.1,1.7,0.8,0.3,0.2,0.8,1.2,6.3
SG,29,25,0,10.7,1.2,3.3,0.6,1.8,0.6,1.5,0.6,0.6,0.2,0.4,0.6,0.7,0.3,0.1,0.5,0.9,3.6
SG,24,23,3,12,1.1,2.6,0,0.1,1.1,2.5,0.1,0.1,0.2,1.4,1.6,1.7,0.3,0.1,0.7,0.7,2.3
PF,20,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SG,30,27,7,17,2.1,6.1,1.3,4.2,0.8,1.9,0.7,0.8,0.1,1.7,1.8,1.3,0.6,0.1,0.8,1.7,6.1
PG,25,73,73,33.4,9.3,18.2,1.6,5,7.7,13.2,4.7,6,0.5,3.6,4.2,6.1,1.1,0.3,2.5,2.4,25
PG,24,60,60,29.6,5.8,11.3,0.5,1.5,5.4,9.9,1.9,2.4,1.2,2.8,3.9,5.7,1.5,0.4,2.3,2.2,14
C,25,68,2,15.1,2.3,3.8,0.1,0.5,2.1,3.3,0.8,1.2,1.7,2.5,4.2,0.5,0.4,0.5,0.7,2.1,5.5
C,24,78,47,20.6,3.7,5.1,0,0,3.7,5.1,1.6,2.4,2.1,3.5,5.6,1.1,0.4,1.3,1.1,2.4,9
PG,23,69,69,35.5,7.6,16.4,2.4,6,5.1,10.4,4,4.7,0.4,2.3,2.7,7.8,1.2,0.1,2.9,2.1,21.6
C,20,75,1,12.9,1.1,2.4,0.3,0.8,0.8,1.6,0.4,0.6,1.6,2.5,4.1,0.9,0.6,0.4,0.6,1.8,3
C,24,28,0,8.7,2.3,4.1,0.5,1.4,1.8,2.8,1.5,1.9,1.2,1.1,2.3,0.6,0.1,0.1,0.5,1.5,6.5
PF,36,56,0,14.6,1.9,5.1,0.6,2.3,1.4,2.8,0.8,0.9,0.6,2.3,2.9,1,0.3,0.3,0.7,1.2,5.2
SF,32,56,56,34.6,8.2,17.9,2.8,7.6,5.4,10.3,4.6,5.3,0.8,5.3,6.1,5.1,1.5,0.4,3.1,2.8,23.8
C,37,49,2,9.8,1.3,2.6,0.2,0.5,1.2,2.1,0.6,0.9,0.7,1.2,1.9,0.7,0.3,0.2,0.5,1.7,3.4
PF,20,76,76,31.1,7.1,14.7,1,3.1,6.1,11.6,1.4,1.9,1.9,5.9,7.9,6.2,0.8,0.4,2.8,1.9,16.6
PG,24,68,68,35.5,10.4,20.3,0.9,2.5,9.5,17.8,9.8,10.9,0.9,4,4.8,5.5,1.6,1,2.8,2.8,31.4
PF,30,59,8,10.6,1.2,2.2,0.1,0.5,1.1,1.7,0.8,1.1,0.6,1.1,1.7,0.6,0.1,0.2,0.3,1.2,3.3
PG,24,1,0,41,1,3,1,3,0,0,0,0,0,4,4,7,3,0,2,3,3
C,30,70,70,30.7,5.1,7.8,0,0,5.1,7.8,3.1,4.9,3.3,8.3,11.6,1.2,0.8,1.4,1.7,3,13.4
PG,24,62,7,17.8,2.5,5.7,0.6,1.9,1.9,3.8,0.9,1.1,0.9,2.4,3.3,2.7,0.9,0.4,0.9,1.5,6.6
PF,27,68,68,30.2,6.3,11.2,0.9,2.5,5.4,8.6,2.8,4.6,2.4,4.1,6.6,3,0.8,0.8,1.4,1.9,16.3
SG,34,69,58,28.5,4.2,9.5,1.9,5.2,2.3,4.3,2.1,2.5,0.2,1.7,1.9,2.7,0.6,0.4,1.5,1.1,12.4
PG,27,73,8,18.3,2.2,5.9,1.6,4.6,0.6,1.3,1.3,1.8,0.3,1.4,1.7,2.7,0.6,0.2,0.7,1.1,7.4
PF,28,63,63,35.7,6.9,14.5,2.3,5.7,4.6,8.8,4.4,5.4,0.8,3.7,4.5,2.4,0.8,0.8,1.8,2.4,20.5
PF,23,1,0,35,6,12,2,5,4,7,2,2,3,6,9,7,0,1,4,5,16
SG,23,35,1,9.9,1.5,3.6,1.3,3,0.3,0.6,0.1,0.1,0.2,1.1,1.3,0.6,0.2,0,0.3,0.9,4.4
SG,35,11,0,12.5,2,4.5,1.5,3.4,0.5,1.1,0.1,0.1,0.3,1,1.3,0.5,0.5,0.3,0.9,1.5,5.5
PF,32,73,73,31.5,3.4,6.5,0.5,1.8,2.9,4.7,1.1,1.5,0.9,6.3,7.2,6.8,1,0.8,2.8,3.1,8.5
